B,20210504,075500,        90,5912799,E
S,20210504,150300,        30,         1, 840865644,AWN/LLOY018/030,Lloyds Pharmacy,UK
S,20210504,150330,        20,         2, 837458687,JUF/FABL051/020,Fabletics,UK
S,20210504,150350,        10,         3, 840738936,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,150400,        30,         4, 837494181,IFN/PETV001/030,Peoples Energy,UK
B,20210504,151845,       120,5912816,C
S,20210504,151845,        30,         1, 836361288,GOS/SFMM007/030,Welsh Government Student Finance,UK
S,20210504,151915,        20,         2, 836889361,TCS/VERI006/020,Verisure International,UK
S,20210504,151935,        10,         3, 840754111,ABF/MTHS002/010,My Tutor,UK
S,20210504,151945,        10,         4, 840738937,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,151955,        10,         5, 840865434,DES/LVHO068/010,Liverpool Victoria Multi Product DR,UK
S,20210504,152005,        10,         6, 837688472,HOG/DULI005/010,DuneLM DRTV,UK
S,20210504,152015,        30,         7, 836730528,KOA/BLNK100/030,Butchers Blink Cat Food Shared Rewa,UK
B,20210504,153230,       120,5912817,C
S,20210504,153230,        30,         1, 836580817,MCL/HSSS006/030,Hotter Shoes SR,UK
S,20210504,153300,        20,         2, 840864143,CWW/PURI002/020,Nestle Bakers Complete Pet Food,UK
S,20210504,153320,        30,         3, 840626335,ABF/OFMH007/030,Ocean Finance Loan Shared Reward,UK
S,20210504,153350,        10,         4, 840739014,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,153400,        20,         5, 840626040,GRF/PBCH001/020,Parsley Box,UK
S,20210504,153420,        10,         6, 840697992,KAR/CONF131/010,Confused Rewards,UK
B,20210504,154615,       120,5912818,C
S,20210504,154615,        10,         1, 836612282,VCC/SICO002/010,Simply Cook Shared Reward,UK
S,20210504,154625,        10,         2, 840863721,WLI/WWBR036/010,Weight Watchers Brand,UK
S,20210504,154635,        30,         3, 836612281,MKN/PEBI024/030,Peloton Direct SR,UK
S,20210504,154705,        10,         4, 840738938,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,154715,        20,         5, 840626041,GRF/PBCH001/020,Parsley Box,UK
S,20210504,154735,        10,         6, 840669277,ABF/MTHS002/010,My Tutor,UK
S,20210504,154745,        30,         7, 840864378,VCM/VINT048/030,Vinted (BAR),UK
B,20210504,155500,        60,5912819,E
