HS2021050502032021050620220104AI
D202105080859262082   Murdoch Mysteries (07) (HD)                                                                         Murdoch Mysteries                                                                                   132563   12, Unfinished Business                                                                             Unfinished Business                                                                                 327083   05959  500028351Crime Drama                                                                                         004500166400864Murdoch Mysteries                                                                                   
D202105080959604965   Hudson & Rex (03)                                                                                   Hudson & Rex                                                                                        604972   07, All in the Litter                                                                               All in the Litter                                                                                   600779   05944  500028351Crime Drama                                                                                         004150163495555Hudson & Rex                                                                                        
D202105081059604965   Hudson & Rex (03)                                                                                   Hudson & Rex                                                                                        604973   08, Sleeping Beauty                                                                                 Sleeping Beauty                                                                                     600779   05953  500028351Crime Drama                                                                                         004149163495556Hudson & Rex                                                                                        
D202105081159573990   Death In Paradise (06)                                                                              Death in Paradise                                                                                   573994   Ep 04                                                                                               Stumped in Murder                                                                                   329463   08114  500028351Crime Drama                                                                                         005752166453909Death in Paradise                                                                                   
D202105081320573990   Death In Paradise (06)                                                                              Death in Paradise                                                                                   573995   Ep 05                                                                                               Man Overboard - Part One                                                                            329463   08004  500028351Crime Drama                                                                                         005752166453909Death in Paradise                                                                                   
D202105081440313055   Death in Paradise (04)                                                                              Death in Paradise                                                                                   193828   Ep 01, Stab in the Dark                                                                             Stab in the Dark                                                                                    329463   07942  500023209Drama                                                                                               005900166456358Death in Paradise                                                                                   
D202105081600573851   Father Brown (05)                                                                                   Father Brown                                                                                        573925   Ep 11                                                                                               The Sins Of Others                                                                                  329855   05913  500028351Crime Drama                                                                                         004309166456359Father Brown                                                                                        
D202105081659573851   Father Brown (05)                                                                                   Father Brown                                                                                        573920   Ep 12                                                                                               The Theatre Of The Invisible                                                                        329855   06019  500028351Crime Drama                                                                                         004455166463065Father Brown                                                                                        
D202105081759231496   Maisie Raine (2)                                                                                    Maisie Raine                                                                                        58876    Ep. 3 - ID                                                                                          ID                                                                                                  326094   05942  500028351Crime Drama                                                                                         004418166464305Maisie Raine                                                                                        
D202105081859231496   Maisie Raine (2)                                                                                    Maisie Raine                                                                                        58877    Ep. 4 - Old Scores                                                                                  Old Scores                                                                                          326094   06030  500028351Crime Drama                                                                                         004426166464312Maisie Raine                                                                                        
D202105082000573990   Death In Paradise (06)                                                                              Death in Paradise                                                                                   573995   Ep 05                                                                                               Man Overboard - Part One                                                                            329463   06032  500028351Crime Drama                                                                                         004428168582452Death in Paradise                                                                                   
D202105082100313055   Death in Paradise (04)                                                                              Death in Paradise                                                                                   193828   Ep 01, Stab in the Dark                                                                             Stab in the Dark                                                                                    329463   06055  500023209Drama                                                                                               004531168582469Death in Paradise                                                                                   
D202105082201573851   Father Brown (05)                                                                                   Father Brown                                                                                        573925   Ep 11                                                                                               The Sins Of Others                                                                                  329855   05833  500028351Crime Drama                                                                                         004309168582487Father Brown                                                                                        
D202105082300573851   Father Brown (05)                                                                                   Father Brown                                                                                        573920   Ep 12                                                                                               The Theatre Of The Invisible                                                                        329855   06019  500028351Crime Drama                                                                                         004455168582488Father Brown                                                                                        
D202105082400588694   We Hunt Together (01)                                                                               We Hunt Together                                                                                    588696   Ep 02                                                                                               We Hunt Together                                                                                    588693   06048  500028351Crime Drama                                                                                         004404166400788We Hunt Together                                                                                    
D202105082501582395   Motive (04)                                                                                         Motive                                                                                              582407   Episode 12                                                                                          Chronology of Pain                                                                                  582268   05831  500028351Crime Drama                                                                                         004207166484126Motive                                                                                              
D202105082559582395   Motive (04)                                                                                         Motive                                                                                              582408   Episode 13                                                                                          We'll Always Have Homicide                                                                          582268   04745  500028351Crime Drama                                                                                         004219166484127Motive                                                                                              
D202105082659592572   Carter (02)                                                                                         Carter                                                                                              592576   Ep 04                                                                                               Harley Gets an Office Job                                                                           568437   04541  500028351Crime Drama                                                                                         004045166485270Carter                                                                                              
D202105082745585332   Zoom In (1)                                                                                         Zoom In                                                                                             585362   30, Bridget Jones's Baby                                                                            Zoom In                                                                                             585331   00705  500023213Filler                                                                                              000615167845033Zoom In                                                                                             
